LON,LAT,EDO,CLAVE,ESTACION,may-22
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",2.2
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",4
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",4.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",8.25
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",3.6
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",2.1
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",3.3
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",0.1
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",6.01
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",47.2
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",0.6
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",2.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",2
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",0
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",2.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",1.5
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",0.4
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",0
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",4.4
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0.01
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.01
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",0.01
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",89
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",262.6
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",116.81
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",193
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",127
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",68.2
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",226.71
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",171.3
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",181
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",127.2
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",115.8
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",115
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",153
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",127.2
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",141.5
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",0
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",13
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",5.247
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",0
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",0
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",0
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",0
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",0
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",0
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0.06
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",0
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",0.8
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",0
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",0
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",0
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",2.46
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",0
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",0
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",0
