LON,LAT,EDO,CLAVE,ESTACION,dic-21
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",2.5
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",3
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",1.2
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",0
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",0.5
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0.1
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",2.1
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",0
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",0.5
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0.1
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",0.8
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",1
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",3
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",1
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",0
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",0
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",0
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",1
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",1.2
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",0
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",0
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",71.4
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",74
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",36.05
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",52.9
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",54.3
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",56.91
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",75.9
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",2.61
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",67.22
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",7.71
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",8.51
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",35.4
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",87.4
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",117.11
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",64.8
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",28
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",59.4
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0.5
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.1
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",28
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",4.01
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",17.01
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",4
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.12
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",14.91
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",44.2
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",1.5
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",5
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",32.6
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",20
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",171
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",36.5
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",11.3
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",46
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",34
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",36.5
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",34.8
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",56.5
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",62
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",124.5
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",2
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",107.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",11
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",73.2
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",34
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",15.5
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",3.5
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",9.5
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",110
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",0
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",44
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",81
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",27.51
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",6.52
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",38.11
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",6.6
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",8.01
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",36.82
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",5
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",31.64
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",0.8
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",8.01
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",55.51
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",1
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",51.61
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",8.2
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",8.51
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",38.4
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",73.2
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",40.2
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",1.72
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",14.8
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",3.01
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",26.17
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",9.2
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0.5
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",9.01
-104.74,29.5,CHIH,PEGUIS,"Pegüis, Chih. SGT*",0
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",5.41
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",0
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",23.4
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",43.13
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",28.01
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",61.9
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",12
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",12
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",50
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",0
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",0.9
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",0.6
-92.874722,17.189444,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",68.3
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",87.2
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",13.8
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",2.8
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",46.3
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",0.2
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",107
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",5.4
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",0.1
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",0.8
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",20
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",21.8
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. PC*",0
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",1.8
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",18.1
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",7.2
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",10.4
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",184.7
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",204.8
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",14.2
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",0
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",1.2
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",183.1
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",1.1
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",0
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",47.3
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",28.2
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",0.3
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",6.5
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",0.2
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",66
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",52.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",7.7
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",142.9
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",2
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",0.1
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",3
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",197.2
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",5.2
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",164.1
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",4.3
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",0.2
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",1.6
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",49.4
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",165.4
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",2.4
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",0.3
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",23.1
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cañón del Sumidero, Chis. CFE*",0.9
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",1.4
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",4.7
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",0
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",79.3
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",14.08
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",57.7
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",0
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",4
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",14
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",2
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",7.01
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",20.01
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",0
-103.338333,25.695833,COAH,CUICL,"El Cuije, Coah.",9
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",0.5
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",11
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas Ciudad Acuña, Coah. CILA*",13.603
