LON,LAT,EDO,CLAVE,ESTACION,oct-21
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",22
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",28
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",17.6
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",18.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",36.79
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",45
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",21.1
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",67.3
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",75.2
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",38.2
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",34.2
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",54.23
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",31.8
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",38.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",25.2
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",18.6
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",54
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",40.6
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",29.3
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",34.8
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",57.9
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",41
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",35.5
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",5.27
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",26.6
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",16.8
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",20.3
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",15.6
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",2
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",11.1
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",1.3
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0.01
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.6
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",9.8
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",27.3
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",17
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",9.4
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",11.5
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",72
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",2.3
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",49
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",85.41
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",15.45
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0.4
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",13
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",48.05
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",57
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",24.8
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",30.21
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",22
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",29.5
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",208.8
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",275.42
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",167
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",79
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",208.8
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",102.1
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",204
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",180
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",68.6
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",134.5
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",241
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",232
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",54.9
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",79
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",0
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",0
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",7.5
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",0
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",6.3
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",7
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",13
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",0
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",0.01
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",0.01
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",9.6
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0.03
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",0
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",2.8
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",2.01
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",0
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",22.05
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",2
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",3
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",7.51
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",3.41
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",1.01
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",20.2
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",6.4
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",33.6
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",0.2
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",28.01
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",0
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",5
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",6.1
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",19.4
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0.02
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",17.01
-104.74,29.5,CHIH,PEGUIS,"Pegüis, Chih. SGT*",0
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",26.31
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",3.41
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",9.7
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",0.01
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",0
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",0.01
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",14.5
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",17.05
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",19.51
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",43.4
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",31.7
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",126.7
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",642.4
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",144.3
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",34
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",486.9
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",130.7
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",113.4
-91.949722,17.85,CHIS,CATAZAJA,"Catazajá, Chis. SGT*",318.6
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",240.4
-91.710278,16.383056,CHIS,CHAYABE,"Finca Chayabé, Chis. SGT*",216.7
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",155
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",54.1
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",171.8
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",29.2
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",105.8
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",113.5
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. PC*",83.48
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",278.9
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",595.5
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",76.9
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",57.6
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",422.5
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",267.6
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",705.7
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",520.8
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",361.1
-92.299167,15.126667,CHIS,FARCP,"Finca Argovia, Chis.",236.1
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",339.8
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",57.4
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",79
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",729.2
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",157.4
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",279.92
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",1124.8
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",1055.5
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",292.4
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",312.4
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",34
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",113.2
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",390.6
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",389.4
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",449.3
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",65
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",59.3
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",27.4
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",344
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",204.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",106.5
-91.967778,15.849444,CHIS,PCONCORDIACFE,"Puente Concordia, Chis. CFE*",105.9
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",666.2
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",309.35
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",67
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",235.3
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",44.4
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",586.3
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",64.1
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",874.2
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",63.1
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",86.7
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",51
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",161
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",247.7
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",553.4
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",130.6
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",65.2
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",220.2
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cañón del Sumidero, Chis. CFE*",48.5
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",208.3
-93.545833,15.875,CHIS,TPICP,"Tres Picos, Chis.",170.8
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",88.8
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",30.7
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",42.9
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",70.8
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla Gutiérrez Zoomat, Chis.",31.3
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",633.7
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",54.91
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",125.2
-92.050556,16.116389,CHIS,ZAPALUTA,"Zapaluta, Chis. SGT*",5.3
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",1.01
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",23
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",0
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",4
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",0
-103.338333,25.695833,COAH,CUICL,"El Cuije, Coah.",17.01
